Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
394535,"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,"=""0679728759""","=""9780679728757""",3,4.17,Vintage Books,Paperback,337,1992,1985,2017/12/27,2017/10/13,,,read,,,,1,,,0,,,,,
2657,"To Kill a Mockingbird (To Kill a Mockingbird, #1)",Harper Lee,"Lee, Harper",,"=""""","=""""",4,4.27,Harper Perennial Modern Classics,Paperback,324,2006,1960,,2017/09/11,,,read,,,,1,,,0,,,,,
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",0,4.10,W. W. Norton  Company,Hardcover,224,2017,2017,,2017/12/05,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
36804136,The Internet of Money Volume Two,Andreas M. Antonopoulos,"Antonopoulos, Andreas M.",,"=""""","=""""",0,4.33,,,,,,,2017/12/05,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
122649,Lady Windermere's Fan,Oscar Wilde,"Wilde, Oscar",,"=""014062399X""","=""9780140623994""",3,3.91,Penguin Books,Paperback,70,1995,1893,,2017/11/15,,,read,,,,1,,,0,,,,,
67762,Salomé,Oscar Wilde,"Wilde, Oscar","Robert Baldwin Ross, Aubrey Beardsley, Alfred Bruce Douglas","=""0486421279""","=""9780486421278""",3,3.69,Dover Publications,Paperback,64,2002,1891,,2017/11/06,,,read,,,,1,,,0,,,,,
22826205,Patterns of Enterprise Application Architecture,Martin Fowler,"Fowler, Martin",,"=""0133065200""","=""9780133065206""",0,4.11,Addison-Wesley Professional,ebook,,2012,2002,,2017/10/31,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
36239393,Clean Architecture: A Craftsman's Guide to Software Structure and Design (Robert C. Martin Series),Robert C. Martin,"Martin, Robert C.",,"=""""","=""""",0,4.23,Prentice Hall,Kindle Edition,432,2017,,,2017/10/31,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
22535713,Software Systems Architecture: Working with Stakeholders Using Viewpoints and Perspectives,Nick Rozanski,"Rozanski, Nick",Eoin Wood,"=""0132906120""","=""9780132906128""",0,4.12,Addison-Wesley Professional,ebook,698,2011,2005,,2017/10/31,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
60080,Groundwork of the Metaphysics of Morals,Immanuel Kant,"Kant, Immanuel","Mary J. Gregor, Christine M. Korsgaard","=""0521626951""","=""9780521626958""",0,3.82,Cambridge University Press,Paperback,120,1998,1785,,2017/10/29,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
130119,An Enquiry Concerning Human Understanding,David Hume,"Hume, David",,"=""1420926993""","=""9781420926996""",0,3.91,Digireads.com,Paperback,96,2006,1748,,2017/10/29,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
80311,A Treatise of Human Nature,David Hume,"Hume, David",,"=""1406927554""","=""9781406927559""",0,3.92,Hard Press,Paperback,434,2006,1739,,2017/10/29,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
10427466,L'execution,Milovan Đilas,"Đilas, Milovan",Kosta Christich,"=""2702108407""","=""9782702108406""",2,2.50,Calmann-Levy,Paperback,,1994,1994,,2017/10/29,,,read,,,,1,,,0,,,,,
16099635,Les grandes plaidoiries des ténors du barreau : Quand les mots peuvent tout changer,Mathieu Aron,"Aron, Mathieu",,"=""""","=""9782847242973""",5,3.75,Jacob-Duvernet ,,274,2010,2010,2017/10/28,2017/09/28,,,read,,,,1,,,0,,,,,
447681,L'Arrache-cœur,Boris Vian,"Vian, Boris",,"=""2253006629""","=""9782253006626""",3,3.97,Jean-Jacques Pauvert,Mass Market Paperback,256,1962,1953,2017/10/28,2017/10/12,,,read,,,,1,,,0,,,,,
35072296,Building Blockchain Projects: Building decentralized Blockchain applications with Ethereum and Solidity,Narayan Prusty,"Prusty, Narayan",,"=""""","=""""",2,3.16,Packt Publishing,Kindle Edition,268,2017,,2017/10/19,2017/10/15,,,read,,,,1,,,0,,,,,
1342319,Changements,Paul Watzlawick,"Watzlawick, Paul",,"=""2020058715""","=""9782020058711""",5,4.29,Éditions du Seuil,Paperback,189,1981,1974,2017/10/15,2017/10/12,,,read,"Partie 3 :<br/>Résolution des problèmes, basée non pas sur la recherche des causes profondes de ces problèmes s'intéressant :<br/>- au metachangement (changement de système du problème et pas changement à l'intérieur du système du problème)<br/>- au recadrage du problème<br/>- à l'élimination des ""solutions"" qui accentue en fait le problème.<br/>La partie s'achève par de nombreux exemples parlants et diversifiés.<br/><br/><br/>Globalement, un livre très bien structuré, bien écrit, qui pousse à la réflexion.",,,1,,,0,,,,,
352383,Antigone,Jean Anouilh,"Anouilh, Jean",Lewis Galantière,"=""041330860X""","=""9780413308603""",3,3.81,Methuen Publishing,Paperback,72,1960,1944,,2017/09/12,,,read,,,,1,,,0,,,,,
6401838,Nouvelle Encyclopedie Du Savoir Relatif Et Absolu,Bernard Werber,"Werber, Bernard",,"=""2226186549""","=""9782226186546""",4,4.14,Albin Michel,Paperback,592,2009,2009,,2017/09/20,,,read,,,,1,,,0,,,,,
131359,"Death on the Nile (Hercule Poirot, #17)",Agatha Christie,"Christie, Agatha",,"=""0553119222""","=""9780553119220""",3,4.10,Bantam Books,Paperback,214,1978,1937,,2017/09/11,,,read,,,,1,,,0,,,,,
18220698,Comment voyager avec un saumon,Umberto Eco,"Eco, Umberto",Myriem Bouzaher,"=""2253147923""","=""9782253147923""",5,3.85,Le Livre de Poche,Mass Market Paperback,283,2010,1992,,2017/10/04,,,read,,,,1,,,0,,,,,
249747,Artemis Fowl,Eoin Colfer,"Colfer, Eoin",,"=""0786817879""","=""9780786817870""",5,3.84,Disney-Hyperion,Paperback,396,2003,2001,,2017/10/08,,,read,,,,1,,,0,,,,,
34137265,Blockchain Basics: A Non-Technical Introduction in 25 Steps,Daniel Drescher,"Drescher, Daniel",,"=""1484226038""","=""9781484226032""",3,4.00,Apress,Paperback,255,2017,2017,2017/10/14,2017/10/13,,,read,"Not very well written and it repeats itself 3 or 4 times on each concept.<br/>Though, it delivers what you expect from it : explaining the basics of the blockchain.",,,1,,,0,,,,,
18266,Gargantua and Pantagruel,François Rabelais,"Rabelais, François",M.A. Screech,"=""0140445501""","=""9780140445503""",2,3.71,Penguin Classics,Paperback,1041,2006,1532,,2017/09/23,,,read,,,,1,,,0,,,,,
112147,The Memory of Running,Ron McLarty,"McLarty, Ron",,"=""0143036688""","=""9780143036685""",2,3.76,Penguin Books,Paperback,384,2005,2004,,2017/09/12,,,read,,,,1,,,0,,,,,
19380,Candide,Voltaire,"Voltaire, Voltaire",,"=""0486266893""","=""9780486266893""",2,3.76,Dover Publications,Paperback,129,1991,1759,,2017/09/11,,,read,,,,1,,,0,,,,,
26359468,Avant Qu'il Soit Trop Tard,Stéphane Daniel,"Daniel, Stéphane",,"=""2700240758""","=""9782700240757""",1,2.50,Rageot Editeur,ebook,256,2005,2005,,2017/09/23,,,read,,,,1,,,0,,,,,
1514057,Un roi sans divertissement,Jean Giono,"Giono, Jean",,"=""2070362205""","=""9782070362202""",1,3.68,Editions Gallimard,Mass Market Paperback,244,2004,1947,,2017/09/17,,,read,,,,1,,,0,,,,,
464721,L'art d'avoir toujours raison,Arthur Schopenhauer,"Schopenhauer, Arthur",,"=""284205301X""","=""9782842053017""",4,3.58,Mille et une nuits,Mass Market Paperback,84,1998,1831,2017/10/06,2017/10/05,,,read,,,,1,,,0,,,,,
7775323,Uml 2 Par La Pratique,Pascal Roques,"Roques, Pascal",,"=""2212125658""","=""9782212125658""",4,3.43,Eyrolles,,395,2009,2005,,2017/09/19,,,read,,,,1,,,0,,,,,
153747,"Moby-Dick, or, the Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk","=""0142437247""","=""9780142437247""",4,3.49,Penguin Classics,Paperback,654,2003,1851,,2017/09/23,,,read,,,,1,,,0,,,,,
5695,Demons,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor","Richard Pevear, Nicolae Gane, Taťjana Hašková, Larissa Volokhonsky, Jaroslav Hulák","=""""","=""""",0,4.27,Vintage,Paperback,733,1995,1872,,2017/10/13,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
21856367,"The Innovators: How a Group of  Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,"Isaacson, Walter",,"=""147670869X""","=""9781476708690""",0,4.10,Simon and Schuster,Hardcover,542,2014,2014,,2017/10/12,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
10885,The Wise Men: Six Friends and the World They Made,Walter Isaacson,"Isaacson, Walter",Evan Thomas,"=""0684837714""","=""9780684837710""",0,4.08,Simon & Schuster,Paperback,864,1997,1986,,2017/10/12,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
18288,Critique of Pure Reason,Immanuel Kant,"Kant, Immanuel","Paul Guyer, Allen W. Wood","=""0521657296""","=""9780521657297""",0,3.94,Cambridge University Press,Paperback,796,1999,1781,,2017/10/08,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
